datetime_nano,price,direction
2022-01-14 14:32:00,7092.2,buy
2022-01-14 14:38:00,7083.4,sell
2022-01-14 14:44:00,7089.6,buy
2022-01-14 14:59:00,7088.4,sell
2022-01-17 09:30:00,7105.4,buy
2022-01-17 09:44:00,7134.2,sell
2022-01-17 09:49:00,7148.0,buy
2022-01-17 09:58:00,7137.0,sell
2022-01-17 10:08:00,7131.8,buy
2022-01-17 10:12:00,7125.0,sell
2022-01-17 10:16:00,7138.4,buy
2022-01-17 10:36:00,7156.0,sell
2022-01-17 10:54:00,7150.2,buy
2022-01-17 11:18:00,7164.8,sell
2022-01-17 11:25:00,7166.6,buy
2022-01-17 13:03:00,7168.8,sell
2022-01-17 13:04:00,7170.8,buy
2022-01-17 13:14:00,7174.0,sell
2022-01-17 13:17:00,7177.6,buy
2022-01-17 13:18:00,7178.2,sell
2022-01-17 13:19:00,7175.0,buy
2022-01-17 13:22:00,7174.4,sell
2022-01-17 13:26:00,7180.8,buy
2022-01-17 13:37:00,7175.8,sell
2022-01-17 13:44:00,7179.0,buy
2022-01-17 13:49:00,7175.4,sell
2022-01-17 13:54:00,7178.6,buy
2022-01-17 14:01:00,7178.0,sell
2022-01-17 14:08:00,7178.4,buy
2022-01-17 14:09:00,7178.4,sell
2022-01-17 14:10:00,7177.4,buy
2022-01-17 14:11:00,7174.8,sell
2022-01-17 14:28:00,7170.2,buy
2022-01-17 14:36:00,7170.6,sell
2022-01-18 09:38:00,7140.0,buy
2022-01-18 09:49:00,7155.4,sell
2022-01-18 09:52:00,7166.4,buy
2022-01-18 10:10:00,7171.8,sell
2022-01-18 10:21:00,7173.4,buy
2022-01-18 10:29:00,7168.8,sell
2022-01-18 10:34:00,7174.6,buy
2022-01-18 10:46:00,7174.4,sell
2022-01-18 10:53:00,7176.4,buy
2022-01-18 11:10:00,7185.6,sell
2022-01-18 11:12:00,7186.8,buy
2022-01-18 11:19:00,7186.8,sell
2022-01-18 13:22:00,7157.8,buy
2022-01-18 13:32:00,7158.6,sell
2022-01-18 13:36:00,7170.6,buy
2022-01-18 13:42:00,7162.0,sell
2022-01-18 13:53:00,7162.8,buy
2022-01-18 13:58:00,7159.8,sell
2022-01-18 14:09:00,7159.8,buy
2022-01-18 14:17:00,7157.2,sell
2022-01-18 14:19:00,7160.6,buy
2022-01-18 14:25:00,7156.2,sell
2022-01-18 14:30:00,7164.2,buy
2022-01-18 14:39:00,7160.2,sell
2022-01-18 14:46:00,7164.6,buy
2022-01-18 14:59:00,7166.0,sell
2022-01-19 09:30:00,7180.0,buy
2022-01-19 09:40:00,7192.8,sell
2022-01-19 09:42:00,7189.0,buy
2022-01-19 09:47:00,7178.6,sell
2022-01-19 09:57:00,7176.2,buy
2022-01-19 10:11:00,7169.4,sell
2022-01-19 10:17:00,7173.6,buy
